timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
32768.0,25.488816499710083,86.0,10.0,4.0,0.0,252.0,75.0,10.0
65536.0,49.707848072052,202.0,10.0,5.25,0.0,502.0,161.525,9.0
98304.0,72.46446537971497,312.0,10.0,4.5,0.0,740.0,181.975,17.0
131072.0,94.93404865264893,410.0,10.0,2.25,0.0,1000.0,356.0,11.0
163840.0,117.46842002868652,482.0,10.0,2.75,0.0,1000.0,425.575,19.0
196608.0,139.66923332214355,558.0,10.0,3.5,0.0,1000.0,360.95,18.0
229376.0,162.29355478286743,672.0,10.0,3.5,0.0,1000.0,380.2,15.0
262144.0,184.84640288352966,777.0,10.0,3.75,0.0,1000.0,394.0,19.0
294912.0,207.26479983329773,886.0,10.0,3.75,0.0,1000.0,363.025,14.0
327680.0,229.68379950523376,978.0,10.0,4.5,0.0,1000.0,373.2,15.0
360448.0,252.30644512176514,1078.0,10.0,3.5,0.0,1000.0,287.5,9.0
393216.0,274.99151825904846,1197.0,10.0,4.25,0.0,1000.0,306.85,14.0
425984.0,297.54066610336304,1278.0,10.0,3.0,0.0,1000.0,372.175,19.0
458752.0,319.9957866668701,1425.0,10.0,3.25,0.0,1000.0,252.8,16.0
491520.0,342.7915840148926,1551.0,10.0,3.5,0.0,1000.0,253.5,14.0
524288.0,365.57209968566895,1667.0,10.0,4.5,0.0,1000.0,234.85,15.0
557056.0,388.0548086166382,1797.0,10.0,4.5,0.0,1000.0,201.95,10.0
589824.0,410.57104682922363,1937.0,10.0,4.5,0.0,1000.0,212.025,14.0
622592.0,433.1964478492737,2050.0,10.0,3.75,0.0,1000.0,273.675,13.0
655360.0,455.7523093223572,2180.0,10.0,4.25,0.0,1000.0,209.275,14.0
688128.0,478.18043279647827,2307.0,10.0,4.25,0.0,1000.0,209.05,14.0
720896.0,500.6404883861542,2428.0,10.0,2.5,0.0,1000.0,309.65,9.0
753664.0,523.2137928009033,2524.0,10.0,3.75,0.0,1000.0,340.275,19.0
786432.0,545.7886607646942,2627.0,10.0,3.0,0.0,1000.0,387.65,15.0
819200.0,568.2512741088867,2719.0,10.0,4.5,0.0,1000.0,396.475,14.0
851968.0,590.6369380950928,2809.0,10.0,5.0,0.0,1000.0,294.0,14.0
884736.0,613.3474907875061,2905.0,10.0,4.5,0.0,1000.0,297.75,12.0
917504.0,635.9373188018799,3028.0,10.0,4.25,0.0,1000.0,347.525,15.0
950272.0,658.4059510231018,3123.0,10.0,2.75,0.0,1000.0,377.6,6.0
983040.0,680.8966839313507,3198.0,10.0,3.0,0.0,1000.0,417.525,11.0
1015808.0,703.63827252388,3309.0,10.0,3.5,0.0,1000.0,324.55,6.0
1048576.0,726.2830309867859,3426.0,10.0,3.25,0.0,1000.0,303.225,6.0
1081344.0,748.8493225574493,3524.0,10.0,4.75,0.0,1000.0,247.975,14.0
1114112.0,771.2816257476807,3613.0,10.0,3.25,0.0,1000.0,340.55,14.0
1146880.0,793.9052512645721,3706.0,10.0,4.0,0.0,1000.0,399.05,9.0
1179648.0,816.5214033126831,3824.0,10.0,4.75,0.0,1000.0,349.675,14.0
1212416.0,838.9743402004242,3908.0,10.0,3.25,0.0,1000.0,411.25,14.0
1245184.0,861.4366552829742,4001.0,10.0,3.75,0.0,1000.0,375.425,13.0
1277952.0,884.0399634838104,4067.0,10.0,4.0,0.0,1000.0,396.65,6.0
1310720.0,906.637184381485,4209.0,10.0,3.25,0.0,1000.0,338.05,14.0
1343488.0,929.1692371368408,4305.0,10.0,3.25,0.0,1000.0,337.325,11.0
1376256.0,951.6100630760193,4420.0,10.0,3.5,0.0,1000.0,393.525,13.0
1409024.0,974.2293245792389,4489.0,10.0,4.25,0.0,1000.0,265.0,10.0
1441792.0,996.913366317749,4595.0,10.0,3.5,0.0,1000.0,445.675,25.0
1474560.0,1019.4469976425171,4710.0,10.0,3.75,0.0,1000.0,326.225,17.0
1507328.0,1041.8470072746277,4812.0,10.0,4.5,0.0,1000.0,312.5,6.0
1540096.0,1064.421668291092,4881.0,10.0,3.75,0.0,1000.0,324.6,14.0
1572864.0,1087.0022687911987,4983.0,10.0,4.0,0.0,1000.0,368.3,16.0
1605632.0,1109.5886843204498,5098.0,10.0,3.0,0.0,1000.0,297.875,14.0
1638400.0,1132.1254329681396,5229.0,10.0,3.25,0.0,1000.0,210.275,14.0
1671168.0,1154.5773248672485,5345.0,10.0,4.0,0.0,1000.0,241.375,13.0
1703936.0,1177.2500820159912,5472.0,10.0,3.25,0.0,1000.0,329.45,6.0
1736704.0,1199.833616733551,5590.0,10.0,4.0,0.0,1000.0,265.325,9.0
1769472.0,1222.4764540195465,5699.0,10.0,4.5,0.0,1000.0,287.05,12.0
1802240.0,1244.9592390060425,5801.0,10.0,4.75,0.0,1000.0,254.45,14.0
1835008.0,1267.5673742294312,5918.0,10.0,5.25,0.0,1000.0,207.6,8.0
1867776.0,1290.0358538627625,6050.0,10.0,4.75,0.0,1000.0,228.0,11.0
1900544.0,1312.451987028122,6133.0,10.0,3.75,0.0,1000.0,357.35,15.0
